ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_3115640,221.8266,0,12.29152,37,208.9913,0,12.73236,36,225.5645,0.001253133,9.602029,41,199.9048,0,8.092261,46,194.6561,0.002506266,9.526349,52,229.1935,0,14.34184,42,151.0371,0.001253133,7.134212,55,216.1706,0,10.1788,48,227.0469,0,10.90837,41,253.0584,0,16.572,50,160.4244,0.001253133,9.7778,42,224.04,0.001253133,12.69088,49,139.8221,0.006265664,9.916422,35,137.4352,0.006265664,10.43111,40,185.3797,0.001253133,9.650679,43,194.1112,0.001253133,11.23748,39
ILMN_2652511,2628.22,0,73.47276,28,2687.287,0,75.4897,34,2340.899,0,77.48261,32,1999.039,0,67.99076,29,2385.689,0,64.60387,36,2374.959,0,65.04252,30,1815.537,0,71.62169,25,2164.031,0,115.0145,23,2824.229,0,82.70512,39,2726.434,0,80.26186,24,2009.921,0,61.39,41,2866.312,0,116.9582,32,2227.5,0,84.71497,29,2078.865,0,66.84704,34,1628.377,0,52.51042,35,2288.686,0,79.89186,33
ILMN_2742887,93.71539,0.2794486,6.692139,34,96.34693,0.160401,7.622158,23,87.20746,0.3408521,6.644269,27,82.89767,0.2593985,5.941399,36,84.83743,0.3032582,6.324519,31,88.56977,0.2631579,6.125293,28,80.08917,0.1842105,5.85264,42,88.64658,0.2318296,6.548369,30,104.3978,0.1491228,8.888236,31,90.15399,0.3984962,5.907483,33,86.67827,0.1766917,8.18982,39,123.6437,0.0764411,11.26104,31,64.41504,0.7493734,3.905819,38,79.07227,0.3408521,5.149564,30,85.99916,0.264411,4.937911,42,83.62212,0.2882206,5.149422,35
ILMN_2651715,6490.524,0,208.8073,27,4893.604,0,145.0726,34,5490.498,0,183.0443,33,4341.669,0,130.063,36,3439.719,0,123.2561,38,5228.097,0,150.7321,41,3677.995,0,99.7334,33,4618.333,0,162.4058,38,5713.851,0,157.576,37,6334.075,0,145.7671,31,5207.375,0,125.2015,41,5776.519,0,170.2813,48,4858.537,0,142.8564,45,4963.71,0,164.8138,37,4205.602,0,114.0075,44,4518.457,0,139.444,36
ILMN_2734028,243.5007,0,11.72395,45,222.9876,0,11.98248,43,224.5853,0.001253133,9.633665,43,189.1831,0,12.27144,42,199.5089,0.002506266,11.40843,44,188.8644,0,9.062056,47,163.6971,0,8.410006,41,202.9153,0,13.24687,42,218.1393,0,8.225667,57,225.8032,0,16.23408,41,148.7568,0.002506266,9.825722,41,190.0408,0.002506266,14.78173,37,167.2656,0.001253133,11.56316,36,143.8278,0.003759399,10.50791,56,164.5567,0.003759399,9.732793,43,153.799,0.005012531,14.71089,33
ILMN_2756439,105.2574,0.1666667,6.910516,38,97.84595,0.1541353,6.220646,30,88.46874,0.3220551,4.808596,37,90.5956,0.1804511,5.980003,31,76.137,0.4711779,4.684341,38,100.0523,0.1516291,6.210665,36,83.80116,0.141604,4.768717,48,100.9185,0.1278196,5.508581,47,121.064,0.06766918,10.06395,34,102.2592,0.2669173,6.470337,36,97.63133,0.09649123,7.667354,33,102.7095,0.1917293,7.678921,46,83.73281,0.2343358,5.855343,43,87.01005,0.1829574,7.918068,40,89.7934,0.2117794,4.932933,38,96.67571,0.1453634,8.793306,37
ILMN_2987161,268.7702,0,16.19079,37,229.4224,0,11.58593,27,290.9946,0,10.40551,50,307.3105,0,16.14481,37,213.4195,0,13.58365,31,251.7554,0,10.91483,49,202.0844,0,9.992283,45,289.6203,0,13.99151,40,365.7898,0,9.607136,48,321.1126,0,15.94766,37,265.7781,0,13.22989,59,247.4096,0,13.12244,55,214.5253,0,12.15912,44,278.418,0,20.2927,40,298.5137,0,11.10571,58,205.9897,0,7.966039,61
ILMN_2712196,65.36275,0.9022557,4.702351,35,73.37923,0.5588973,3.33068,45,68.19198,0.8383459,4.060803,30,70.59262,0.5388471,4.843229,42,64.75816,0.8070176,3.697647,50,73.76115,0.5488722,4.155971,56,61.02989,0.7268171,3.208768,41,81.27195,0.3483709,5.367931,38,80.74133,0.462406,5.386481,46,74.77654,0.8107769,5.868981,42,65.27869,0.7330827,4.737157,41,68.73387,0.8233083,3.857069,40,68.92433,0.5802005,3.556026,28,62.46031,0.8421053,5.325553,39,71.42009,0.6052632,4.041281,49,68.15647,0.6691729,4.315618,38
ILMN_2679229,120.7254,0.08270676,7.372256,27,155.9995,0.01002506,10.40126,35,140.2563,0.03884712,7.861007,44,99.31031,0.1165414,4.728876,46,122.9524,0.05137845,8.884963,33,120.55,0.05764411,6.729327,44,87.22145,0.1190476,5.440413,40,151.0199,0.01253133,13.75224,34,135.9175,0.03132832,10.92982,37,144.5902,0.04511278,12.79269,43,97.00885,0.0989975,6.139845,36,123.0964,0.07769424,6.629865,49,108.0431,0.04761905,7.005977,31,112.0086,0.06015038,8.155095,34,127.5273,0.01754386,9.617884,34,102.0993,0.1177945,7.424799,36
ILMN_2597030,511.3374,0,22.43899,42,499.5891,0,32.49543,25,515.3622,0,26.84361,48,356.0907,0,17.70158,43,416.5715,0,22.24805,40,471.4599,0,19.14376,40,364.5152,0,16.84105,50,399.1393,0,20.9308,32,467.9506,0,25.27053,43,563.2029,0,26.05205,43,362.2997,0,15.78511,38,522.4221,0,19.12275,50,421.8412,0,22.94815,47,265.2568,0,21.95376,48,356.275,0,14.17902,40,485.6102,0,29.35228,42
